batch size,seqlen,SM count,milliseconds
1,8,8,0.02505599968135357
1,8,16,0.02147200033068657
1,8,32,0.019264000281691552
1,8,48,0.018617600202560425
1,8,64,0.019558399543166162
1,8,96,0.018726400285959243
1,8,128,0.018355200067162514
1,8,132,0.019628800079226495
1,1024,8,0.04521600008010864
1,1024,16,0.031756799668073654
1,1024,32,0.027539200335741042
1,1024,48,0.02686080038547516
1,1024,64,0.02449280023574829
1,1024,96,0.024531199783086776
1,1024,128,0.025593600049614907
1,1024,132,0.024160000309348107
1,2048,8,0.06166399940848351
1,2048,16,0.04318080022931099
1,2048,32,0.033209600299596784
1,2048,48,0.03278719931840897
1,2048,64,0.028537599742412566
1,2048,96,0.027347199991345404
1,2048,128,0.02592639997601509
1,2048,132,0.027199999988079072
1,4096,8,0.10322560220956803
1,4096,16,0.06602239906787873
1,4096,32,0.04647679999470711
1,4096,48,0.04117759987711907
1,4096,64,0.037036800384521486
1,4096,96,0.03758079931139946
1,4096,128,0.03196159936487675
1,4096,132,0.03247999995946884
1,8192,8,0.16181119978427888
1,8192,16,0.09852159917354583
1,8192,32,0.060115200281143186
1,8192,48,0.0515904001891613
1,8192,64,0.044671999663114546
1,8192,96,0.04249599948525429
1,8192,128,0.035424000769853595
1,8192,132,0.03642239943146706
1,16384,8,0.2668799996376038
1,16384,16,0.15160320103168487
1,16384,32,0.09338239878416062
1,16384,48,0.07896320074796677
1,16384,64,0.06259839981794357
1,16384,96,0.059487999975681306
1,16384,128,0.05169920027256012
1,16384,132,0.051814399659633636
1,32768,8,0.4731648027896881
1,32768,16,0.2572096049785614
1,32768,32,0.1550336003303528
1,32768,48,0.11716479957103729
1,32768,64,0.09602560102939606
1,32768,96,0.0943680003285408
1,32768,128,0.07212160080671311
1,32768,132,0.07260800004005433
2,8,8,0.020025600120425223
2,8,16,0.018828799948096275
2,8,32,0.01880960017442703
2,8,48,0.0190591998398304
2,8,64,0.018835199996829033
2,8,96,0.018694400042295455
2,8,128,0.01942400000989437
2,8,132,0.018752000108361245
2,1024,8,0.06030079945921898
2,1024,16,0.04159360006451607
2,1024,32,0.031897599995136264
2,1024,48,0.030912000685930252
2,1024,64,0.02640000022947788
2,1024,96,0.026585600152611733
2,1024,128,0.024582399800419808
2,1024,132,0.024895999953150748
2,2048,8,0.10016000121831894
2,2048,16,0.06156800016760826
2,2048,32,0.043462400883436204
2,2048,48,0.03869440034031868
2,2048,64,0.034310399740934375
2,2048,96,0.033350399881601336
2,2048,128,0.0286336001008749
2,2048,132,0.027750400081276893
2,4096,8,0.15698559880256652
2,4096,16,0.092678402364254
2,4096,32,0.057760000228881836
2,4096,48,0.04816640019416809
2,4096,64,0.0407551996409893
2,4096,96,0.040780799090862276
2,4096,128,0.031884800642728806
2,4096,132,0.031487999856472014
2,8192,8,0.2606271982192993
2,8192,16,0.14535679817199706
2,8192,32,0.08707840144634246
2,8192,48,0.07217920124530793
2,8192,64,0.05909119993448257
2,8192,96,0.05706240013241768
2,8192,128,0.04786560013890266
2,8192,132,0.0487744003534317
2,16384,8,0.46618880033493043
2,16384,16,0.2503104001283646
2,16384,32,0.151008003950119
2,16384,48,0.10913920104503631
2,16384,64,0.09013760089874268
2,16384,96,0.09262080043554306
2,16384,128,0.06872319877147674
2,16384,132,0.06983679980039596
2,32768,8,0.8825599908828735
2,32768,16,0.4646655976772308
2,32768,32,0.2587648034095764
2,32768,48,0.19986560046672822
2,32768,64,0.15469439923763276
2,32768,96,0.1605567991733551
2,32768,128,0.11190399974584579
2,32768,132,0.11342720091342925
4,8,8,0.023622400313615798
4,8,16,0.019443199783563615
4,8,32,0.019360000267624855
4,8,48,0.018777599930763243
4,8,64,0.019033600017428397
4,8,96,0.019148800149559976
4,8,128,0.018982400000095368
4,8,132,0.01900160014629364
4,1024,8,0.09942400008440018
4,1024,16,0.061497601121664046
4,1024,32,0.042361600697040556
4,1024,48,0.03744639977812767
4,1024,64,0.03357440009713173
4,1024,96,0.03155199997127056
4,1024,128,0.02689279951155186
4,1024,132,0.027065600082278252
4,2048,8,0.15544320046901702
4,2048,16,0.09109120070934296
4,2048,32,0.05695999935269356
4,2048,48,0.04755200073122978
4,2048,64,0.03980159983038902
4,2048,96,0.037785600125789645
4,2048,128,0.03025920018553734
4,2048,132,0.03054720051586628
4,4096,8,0.2581376016139984
4,4096,16,0.14536960124969484
4,4096,32,0.09672319889068604
4,4096,48,0.07394560128450393
4,4096,64,0.06081919968128204
4,4096,96,0.05527679994702339
4,4096,128,0.04620159938931465
4,4096,132,0.047327999770641324
4,8192,8,0.461574399471283
4,8192,16,0.24877439737319945
4,8192,32,0.14854399859905243
4,8192,48,0.11583999991416931
4,8192,64,0.09205120205879211
4,8192,96,0.08186880052089691
4,8192,128,0.06828799992799758
4,8192,132,0.06845439821481705
4,16384,8,0.867353618144989
4,16384,16,0.45953919291496276
4,16384,32,0.2547584056854248
4,16384,48,0.1999103993177414
4,16384,64,0.15057919919490814
4,16384,96,0.148512002825737
4,16384,128,0.11076480001211167
4,16384,132,0.11070720106363297
4,32768,8,1.6631808042526246
4,32768,16,0.8525568008422851
4,32768,32,0.4438144028186798
4,32768,48,0.3276351988315582
4,32768,64,0.26529919505119326
4,32768,96,0.2788863956928253
4,32768,128,0.19445759952068328
4,32768,132,0.19357439875602722
8,8,8,0.03337600007653237
8,8,16,0.024089600145816802
8,8,32,0.01945599988102913
8,8,48,0.019968000054359437
8,8,64,0.018796800076961516
8,8,96,0.01953280009329319
8,8,128,0.018611200153827667
8,8,132,0.018911999836564063
8,1024,8,0.15400959849357604
8,1024,16,0.08798720091581344
8,1024,32,0.054553599655628206
8,1024,48,0.04631040021777153
8,1024,64,0.03838080018758774
8,1024,96,0.03694079965353012
8,1024,128,0.03176319934427738
8,1024,132,0.029632000252604485
8,2048,8,0.2515904068946838
8,2048,16,0.13814399838447572
8,2048,32,0.0832832008600235
8,2048,48,0.0659967988729477
8,2048,64,0.053247999399900436
8,2048,96,0.053964799642562865
8,2048,128,0.04572800025343895
8,2048,132,0.045024000108242035
8,4096,8,0.45170560479164124
8,4096,16,0.23836160004138945
8,4096,32,0.1315968006849289
8,4096,48,0.10425600111484527
8,4096,64,0.07865599989891052
8,4096,96,0.08099839836359024
8,4096,128,0.06586879938840866
8,4096,132,0.066252800822258
8,8192,8,0.8529151916503906
8,8192,16,0.44885759949684145
8,8192,32,0.23719680011272432
8,8192,48,0.1835776001214981
8,8192,64,0.13298560082912445
8,8192,96,0.13997440040111542
8,8192,128,0.1091839998960495
8,8192,132,0.11080959886312484
8,16384,8,1.6856576204299927
8,16384,16,0.8616768002510071
8,16384,32,0.44270079135894774
8,16384,48,0.33753600120544436
8,16384,64,0.2374400019645691
8,16384,96,0.25008000135421754
8,16384,128,0.1937727987766266
8,16384,132,0.19123840034008027
8,32768,8,3.31976957321167
8,32768,16,1.685580801963806
8,32768,32,0.8558207988739014
8,32768,48,0.6456768035888671
8,32768,64,0.44558079838752745
8,32768,96,0.47335039973258974
8,32768,128,0.36353920102119447
8,32768,132,0.3580352008342743
16,8,8,0.05340799987316132
16,8,16,0.033983999490737916
16,8,32,0.02351359985768795
16,8,48,0.022003200277686118
16,8,64,0.019443199783563615
16,8,96,0.019283200427889825
16,8,128,0.01918719932436943
16,8,132,0.019680000096559524
16,1024,8,0.259443199634552
16,1024,16,0.1405823975801468
16,1024,32,0.08197119981050491
16,1024,48,0.06632959842681885
16,1024,64,0.05322239995002746
16,1024,96,0.05313279926776886
16,1024,128,0.04548479989171028
16,1024,132,0.04469760060310364
16,2048,8,0.4614847958087921
16,2048,16,0.2428415983915329
16,2048,32,0.1320383995771408
16,2048,48,0.10460800230503083
16,2048,64,0.07875840067863464
16,2048,96,0.08034559935331345
16,2048,128,0.06632319837808609
16,2048,132,0.0668928012251854
16,4096,8,0.8695872068405152
16,4096,16,0.4477375984191895
16,4096,32,0.23500800132751465
16,4096,48,0.18209920227527618
16,4096,64,0.1312831997871399
16,4096,96,0.13747840225696564
16,4096,128,0.11061760187149047
16,4096,132,0.10872960090637207
16,8192,8,1.686579203605652
16,8192,16,0.8588544011116028
16,8192,32,0.44040959477424624
16,8192,48,0.3359167993068695
16,8192,64,0.2366912007331848
16,8192,96,0.24844160079956054
16,8192,128,0.19294719994068146
16,8192,132,0.19031040072441102
16,16384,8,3.3179776191711428
16,16384,16,1.682035231590271
16,16384,32,0.8547392010688781
16,16384,48,0.6471232056617737
16,16384,64,0.4449407994747162
16,16384,96,0.47217280268669126
16,16384,128,0.363481605052948
16,16384,132,0.35701760053634646
16,32768,8,6.592736053466797
16,32768,16,3.333964776992798
16,32768,32,1.6723648071289063
16,32768,48,1.2396799802780152
16,32768,64,0.8420928001403809
16,32768,96,0.8995519995689392
16,32768,128,0.7019584059715271
16,32768,132,0.689625597000122
32,8,8,0.09238400012254715
32,8,16,0.05302399918437004
32,8,32,0.03304319977760315
32,8,48,0.028588800132274626
32,8,64,0.02328319996595383
32,8,96,0.022099200263619424
32,8,128,0.019411200284957887
32,8,132,0.019417599961161613
32,1024,8,0.7555712103843689
32,1024,16,0.3869311988353729
32,1024,32,0.202496001124382
32,1024,48,0.1550847977399826
32,1024,64,0.10924160033464432
32,1024,96,0.09095039963722229
32,1024,128,0.06488319784402848
32,1024,132,0.06515839993953705
32,2048,8,1.4663935899734497
32,2048,16,0.7428159952163697
32,2048,32,0.381088000535965
32,2048,48,0.2928191959857941
32,2048,64,0.20055039823055268
32,2048,96,0.16785920262336732
32,2048,128,0.11608959883451461
32,2048,132,0.11879680007696151
32,4096,8,2.938015937805176
32,4096,16,1.490771222114563
32,4096,32,0.7572479963302612
32,4096,48,0.5739903926849366
32,4096,64,0.3944960057735443
32,4096,96,0.32020479440689087
32,4096,128,0.2216895967721939
32,4096,132,0.2217983990907669
32,8192,8,5.778444862365722
32,8192,16,2.9114495754241942
32,8192,32,1.472217583656311
32,8192,48,1.1100415945053101
32,8192,64,0.7515583992004394
32,8192,96,0.5958016037940979
32,8192,128,0.39919360280036925
32,8192,132,0.40031999349594116
32,16384,8,11.417343902587891
32,16384,16,5.730969619750977
32,16384,32,2.892575979232788
32,16384,48,2.146624040603638
32,16384,64,1.4526016235351562
32,16384,96,1.144601583480835
32,16384,128,0.766265606880188
32,16384,132,0.7663679957389832
32,32768,8,22.876319885253906
32,32768,16,11.402713584899903
32,32768,32,5.723968029022217
32,32768,48,4.263551902770996
32,32768,64,2.8578943729400637
32,32768,96,2.2476351737976072
32,32768,128,1.5098112106323243
32,32768,132,1.511622381210327
64,8,8,0.16575999855995177
64,8,16,0.09016319960355759
64,8,32,0.051737600564956666
64,8,48,0.04068479984998703
64,8,64,0.03274240046739578
64,8,96,0.027903999760746957
64,8,128,0.023020800203084946
64,8,132,0.023110399767756463
64,1024,8,1.4587968111038208
64,1024,16,0.7431039929389953
64,1024,32,0.37982720136642456
64,1024,48,0.2668608009815216
64,1024,64,0.20041599869728088
64,1024,96,0.1557184040546417
64,1024,128,0.11539200097322463
64,1024,132,0.11598079949617386
64,2048,8,2.843065547943115
64,2048,16,1.4420928001403808
64,2048,32,0.7645375967025757
64,2048,48,0.532313597202301
64,2048,64,0.39575679898262023
64,2048,96,0.30339840054512024
64,2048,128,0.21658240556716918
64,2048,132,0.21638400256633758
64,4096,8,5.899539184570313
64,4096,16,2.976019191741943
64,4096,32,1.4663872003555298
64,4096,48,1.0101760149002075
64,4096,64,0.7423104047775269
64,4096,96,0.5676479935646057
64,4096,128,0.39883520603179934
64,4096,132,0.3994368016719818
64,8192,8,11.40699520111084
64,8192,16,5.681779098510742
64,8192,32,2.858495998382568
64,8192,48,1.9785407781600952
64,8192,64,1.4494784116744994
64,8192,96,1.0960576057434082
64,8192,128,0.7660735964775085
64,8192,132,0.7669696092605591
64,16384,8,23.04295654296875
64,16384,16,11.324454307556152
64,16384,32,5.686918258666992
64,16384,48,3.927519989013672
64,16384,64,2.8566783905029296
64,16384,96,2.155449628829956
64,16384,128,1.5081856012344361
64,16384,132,1.5433024168014526
64,32768,8,44.920902252197266
64,32768,16,22.267276763916016
64,32768,32,11.173478317260741
64,32768,48,7.719359970092773
64,32768,64,5.648825645446777
64,32768,96,4.252441692352295
64,32768,128,3.0033215999603273
64,32768,132,3.1880448341369627
128,8,8,0.35696640610694885
128,8,16,0.18869760036468505
128,8,32,0.10198400020599366
128,8,48,0.07377920001745224
128,8,64,0.05811199992895126
128,8,96,0.04599680006504059
128,8,128,0.03592320010066032
128,8,132,0.03583359941840172
128,1024,8,3.2773952007293703
128,1024,16,1.6597760200500489
128,1024,32,0.8364672064781189
128,1024,48,0.5761343955993652
128,1024,64,0.41227519512176514
128,1024,96,0.2926720082759857
128,1024,128,0.22584320306777955
128,1024,132,0.22508160173892974
128,2048,8,5.993087959289551
128,2048,16,2.992460775375366
128,2048,32,1.5041855812072753
128,2048,48,1.042630410194397
128,2048,64,0.7651711940765381
128,2048,96,0.5375295996665954
128,2048,128,0.41167359948158266
128,2048,132,0.4118528008460999
128,4096,8,11.755890846252441
128,4096,16,5.867507076263427
128,4096,32,2.8859903812408447
128,4096,48,1.9906112194061278
128,4096,64,1.4586495637893677
128,4096,96,1.0162368059158324
128,4096,128,0.7723264098167419
128,4096,132,0.7745535969734192
128,8192,8,23.23533477783203
128,8192,16,11.317779350280762
128,8192,32,5.678726482391357
128,8192,48,3.9530816078186035
128,8192,64,2.890758419036865
128,8192,96,2.0095808029174806
128,8192,128,1.5163840055465698
128,8192,132,1.5224512100219727
128,16384,8,45.56089630126953
128,16384,16,22.254502487182616
128,16384,32,11.144640159606933
128,16384,48,7.669772815704346
128,16384,64,5.615558433532715
128,16384,96,3.9073983669281005
128,16384,128,2.998207998275757
128,16384,132,3.015660810470581
128,32768,8,89.01073760986328
128,32768,16,44.70781478881836
128,32768,32,22.241958236694337
128,32768,48,15.301503944396973
128,32768,64,11.196966552734375
128,32768,96,7.842099285125732
128,32768,128,6.097209548950195
128,32768,132,6.89683837890625
